Character,GR,JA,MI,SE,RK,DG,VAL,GE,LUM,ARG,QUI,ONI,,,,,,,,
Grave,,4,5.5,4,6,4.5,5,4.5,5.5,4.5,4.5,6,,,,,,,,
Jaina,6,,6,4.5,6.5,4.5,5,5,6,6.5,4.5,4.5,,,,,,,,
Midori,4.5,4,,5,6,4.5,4,4,4,4,4.5,6.5,,,,,,,,
Setsuki,6,5.5,5,,5.5,4,4.5,5,6,6,6.5,6,,,,,,,,
Rook,4,3.5,4,4.5,,4,5.5,3,3,3,5,5,,,,,,,,
DeGrey,5.5,5.5,5.5,6,6,,5.5,4.5,5,5,6,5.5,,,,,,,,
Valerie,5,5,6,5.5,4.5,4.5,,4,6.5,6,6.5,5,,,,,,,,
Geiger,5.5,5,6,5,7,5.5,6,,5,5,4,6,,,,,,,,
Lum,4.5,4,6,4,7,5,3.5,5,,4,5,5,,,,,,,,
Argagarg,.5,5.5,3.5,6,4,7,5,4,5,6,,5,2.5,,,,,,,,
Quince,5.5,5.5,5.5,3.5,5,4,3.5,6,5,5,,5,,,,,,,,
Onimaru,4,5.5,3.5,4,5,4.5,5,4,5,7.5,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.
